PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37511084","APOA2: New Target for Molecular Hydrogen Therapy in Sepsis-Related Lung Injury Based on Proteomic and Genomic Analysis","Wang Y, Fan Y, Jiang Y, Wang E, Song Y, Chen H, Xu F, Xie K, Yu Y.","Int J Mol Sci. 2023 Jul 11;24(14):11325. doi: 10.3390/ijms241411325.","Wang Y","Int J Mol Sci","2023","2023/07/29","PMC10379236","","10.3390/ijms241411325"
"33364597","Mapping of type 2 diabetes proteins to COVID-19 biomarkers: A proteomic analysis","Moin ASM, Al-Qaissi A, Sathyapalan T, Atkin SL, Butler AE.","Metabol Open. 2020 Dec 13;9:100074. doi: 10.1016/j.metop.2020.100074. eCollection 2021 Mar.","Moin ASM","Metabol Open","2020","2020/12/28","PMC7753193","","10.1016/j.metop.2020.100074"
"38987645","Blood protein assessment of leading incident diseases and mortality in the UK Biobank","Gadd DA, Hillary RF, Kuncheva Z, Mangelis T, Cheng Y, Dissanayake M, Admanit R, Gagnon J, Lin T, Ferber KL, Runz H; Biogen Biobank Team; Foley CN, Marioni RE, Sun BB.","Nat Aging. 2024 Jul;4(7):939-948. doi: 10.1038/s43587-024-00655-7. Epub 2024 Jul 10.","Gadd DA","Nat Aging","2024","2024/07/10","PMC11257969","","10.1038/s43587-024-00655-7"
"38290287","Impact of weight loss on cancer-related proteins in serum: results from a cluster randomised controlled trial of individuals with type 2 diabetes","Bull CJ, Hazelwood E, Legge DN, Corbin LJ, Richardson TG, Lee M, Yarmolinsky J, Smith-Byrne K, Hughes DA, Johansson M, Peters U, Berndt SI, Brenner H, Burnett-Hartman A, Cheng I, Kweon SS, Le Marchand L, Li L, Newcomb PA, Pearlman R, McConnachie A, Welsh P, Taylor R, Lean MEJ, Sattar N, Murphy N, Gunter MJ, Timpson NJ, Vincent EE.","EBioMedicine. 2024 Feb;100:104977. doi: 10.1016/j.ebiom.2024.104977. Epub 2024 Jan 29.","Bull CJ","EBioMedicine","2024","2024/01/30","PMC10844806","","10.1016/j.ebiom.2024.104977"
"30243649","Proteomics, metabolomics and metagenomics for type 2 diabetes and its complications","Wang N, Zhu F, Chen L, Chen K.","Life Sci. 2018 Nov 1;212:194-202. doi: 10.1016/j.lfs.2018.09.035. Epub 2018 Sep 19.","Wang N","Life Sci","2018","2018/09/24","","","10.1016/j.lfs.2018.09.035"
"35184183","Circulating Proteome and Progression of Type 2 Diabetes","Gou W, Yue L, Tang XY, Wu YY, Cai X, Shuai M, Miao Z, Fu Y, Chen H, Jiang Z, Wang J, Tian Y, Xiao C, Xiang N, Wu Z, Chen YM, Guo T, Zheng JS.","J Clin Endocrinol Metab. 2022 May 17;107(6):1616-1625. doi: 10.1210/clinem/dgac098.","Gou W","J Clin Endocrinol Metab","2022","2022/02/20","","","10.1210/clinem/dgac098"
"25960181","A proteomic approach to obesity and type 2 diabetes","López-Villar E, Martos-Moreno GÁ, Chowen JA, Okada S, Kopchick JJ, Argente J.","J Cell Mol Med. 2015 Jul;19(7):1455-70. doi: 10.1111/jcmm.12600. Epub 2015 May 9.","López-Villar E","J Cell Mol Med","2015","2015/05/12","PMC4511345","","10.1111/jcmm.12600"
"38413438","Elevated ITGA1 levels in type 2 diabetes: implications for cardiac function impairment","Su M, Hou Y, Cai S, Li W, Wei Y, Wang R, Wu M, Liu M, Chang J, Yang K, Yiu K, Chen C.","Diabetologia. 2024 May;67(5):850-863. doi: 10.1007/s00125-024-06109-4. Epub 2024 Feb 27.","Su M","Diabetologia","2024","2024/02/27","PMC10954979","","10.1007/s00125-024-06109-4"
"29907545","Differential proteome analysis of diabetes mellitus type 2 and its pathophysiological complications","Sohail W, Majeed F, Afroz A.","Diabetes Metab Syndr. 2018 Nov;12(6):1125-1131. doi: 10.1016/j.dsx.2018.06.009. Epub 2018 Jun 11.","Sohail W","Diabetes Metab Syndr","2018","2018/06/17","","","10.1016/j.dsx.2018.06.009"
"26216595","Proteomic-driven biomarker discovery in gestational diabetes mellitus: a review","Singh A, Subramani E, Datta Ray C, Rapole S, Chaudhury K.","J Proteomics. 2015 Sep 8;127(Pt A):44-9. doi: 10.1016/j.jprot.2015.07.020. Epub 2015 Jul 26.","Singh A","J Proteomics","2015","2015/07/29","","","10.1016/j.jprot.2015.07.020"
"32500461","Type 2 diabetes mellitus management in patients with chronic kidney disease: an update","Kleinaki Z, Kapnisi S, Theodorelou-Charitou SA, Nikas IP, Paschou SA.","Hormones (Athens). 2020 Dec;19(4):467-476. doi: 10.1007/s42000-020-00212-y. Epub 2020 Jun 4.","Kleinaki Z","Hormones (Athens)","2020","2020/06/06","","","10.1007/s42000-020-00212-y"
"24059325","A molecular bridge: connecting type 2 diabetes and Alzheimer's disease","Ahmed F, Ansari JA, Ansari ZE, Alam Q, Gan SH, Kamal MA, Ahmad E.","CNS Neurol Disord Drug Targets. 2014 Mar;13(2):312-21. doi: 10.2174/18715273113126660133.","Ahmed F","CNS Neurol Disord Drug Targets","2014","2013/09/25","","","10.2174/18715273113126660133"
"39059187","Cytochrome P450-soluble epoxide hydrolase oxylipins, depression and cognition in type 2 diabetes","Anita NZ, Herrmann N, Ryoo SW, Major-Orfao C, Lin WZ, Kwan F, Noor S, Rabin JS, Marzolini S, Nestor S, Ruthirakuhan MT, MacIntosh BJ, Goubran M, Yang P, Cogo-Moreira H, Rapoport M, Gallagher D, Black SE, Goldstein BI, Lanctôt KL, Oh PI, Taha AY, Swardfager W.","J Diabetes Complications. 2024 Sep;38(9):108826. doi: 10.1016/j.jdiacomp.2024.108826. Epub 2024 Jul 22.","Anita NZ","J Diabetes Complications","2024","2024/07/26","","","10.1016/j.jdiacomp.2024.108826"
"38409423","Omics to Unveil Diabetes Mellitus Pathogenesis and Biomarkers: Focus on Proteomics, Lipidomics, and Metabolomics","Soares NP, Magalhaes GC, Mayrink PH, Verano-Braga T.","Adv Exp Med Biol. 2024;1443:211-220. doi: 10.1007/978-3-031-50624-6_11.","Soares NP","Adv Exp Med Biol","2024","2024/02/27","","","10.1007/978-3-031-50624-6_11"
"38626182","Plasma Proteomics of Diabetic Kidney Disease Among Asians With Younger-Onset Type 2 Diabetes","Gurung RL, Zheng H, Koh HWL, M Y, Liu JJ, Liu S, Chan C, Ang K, Tan CSH, Sobota RM, Subramaniam T, Sum CF, Lim SC.","J Clin Endocrinol Metab. 2025 Jan 21;110(2):e239-e248. doi: 10.1210/clinem/dgae266.","Gurung RL","J Clin Endocrinol Metab","2025","2024/04/16","PMC11747753","","10.1210/clinem/dgae266"
"39059739","Proteomics profiling and association with cardiorenal complications in type 2 diabetes subtypes in Asian population","Gurung RL, Zheng H, Lee BTK, Liu S, Liu JJ, Chan C, Ang K, Subramaniam T, Sum CF, Coffman TM, Lim SC.","Diabetes Res Clin Pract. 2024 Aug;214:111790. doi: 10.1016/j.diabres.2024.111790. Epub 2024 Jul 25.","Gurung RL","Diabetes Res Clin Pract","2024","2024/07/26","","","10.1016/j.diabres.2024.111790"
"27896756","Multiplex Biomarker Approaches in Type 2 Diabetes Mellitus Research","Ozanne SE, Rahmoune H, Guest PC.","Methods Mol Biol. 2017;1546:37-55. doi: 10.1007/978-1-4939-6730-8_3.","Ozanne SE","Methods Mol Biol","2017","2016/11/30","","","10.1007/978-1-4939-6730-8_3"
"27457212","Metabolomic Insight into Lipid and Protein Profile in Diabetes Using Mass Spectrometry","Bukowiecka-Matusiak M, Chmielewska-Kassassir M, Szczesna D, Wozniak LA.","Mini Rev Med Chem. 2016;16(14):1167-74. doi: 10.2174/1389557516666160722133534.","Bukowiecka-Matusiak M","Mini Rev Med Chem","2016","2016/07/27","","","10.2174/1389557516666160722133534"
"34528736","Platelet biomarkers identifying mild cognitive impairment in type 2 diabetes patients","Yu H, Liu Y, He T, Zhang Y, He J, Li M, Jiang B, Gao Y, Chen C, Ke D, Liu J, He B, Yang X, Wang JZ.","Aging Cell. 2021 Oct;20(10):e13469. doi: 10.1111/acel.13469. Epub 2021 Sep 16.","Yu H","Aging Cell","2021","2021/09/16","PMC8520722","","10.1111/acel.13469"
"36652491","Metabolic and proteomic indications of diabetes progression in human aqueous humor","Fortenbach CR, Skeie JM, Sevcik KM, Johnson AT, Oetting TA, Haugsdal JM, Sales CS, Nishimura DY, Taylor EB, Schmidt GA, Greiner MA.","PLoS One. 2023 Jan 18;18(1):e0280491. doi: 10.1371/journal.pone.0280491. eCollection 2023.","Fortenbach CR","PLoS One","2023","2023/01/18","PMC9847982","","10.1371/journal.pone.0280491"
"33033935","Integrating Genetics and the Plasma Proteome to Predict the Risk of Type 2 Diabetes","Zanini JC, Pietzner M, Langenberg C.","Curr Diab Rep. 2020 Oct 8;20(11):60. doi: 10.1007/s11892-020-01340-w.","Zanini JC","Curr Diab Rep","2020","2020/10/09","PMC7543966","","10.1007/s11892-020-01340-w"
"35768541","Gut microbiota mediate melatonin signalling in association with type 2 diabetes","Huang X, Qiu Y, Gao Y, Zhou R, Hu Q, He Z, Lv Y, Wang X, Chen W, Deng Y, An Z, Zhang H, Mo Z, Lin R.","Diabetologia. 2022 Oct;65(10):1627-1641. doi: 10.1007/s00125-022-05747-w. Epub 2022 Jun 30.","Huang X","Diabetologia","2022","2022/06/29","","","10.1007/s00125-022-05747-w"
"33591955","Proteomic profiling reveals biomarkers and pathways in type 2 diabetes risk","Ngo D, Benson MD, Long JZ, Chen ZZ, Wang R, Nath AK, Keyes MJ, Shen D, Sinha S, Kuhn E, Morningstar JE, Shi X, Peterson BD, Chan C, Katz DH, Tahir UA, Farrell LA, Melander O, Mosley JD, Carr SA, Vasan RS, Larson MG, Smith JG, Wang TJ, Yang Q, Gerszten RE.","JCI Insight. 2021 Mar 8;6(5):e144392. doi: 10.1172/jci.insight.144392.","Ngo D","JCI Insight","2021","2021/02/16","PMC8021115","","10.1172/jci.insight.144392"
"26209743","Prognostic clinical and molecular biomarkers of renal disease in type 2 diabetes","Pena MJ, de Zeeuw D, Mischak H, Jankowski J, Oberbauer R, Woloszczuk W, Benner J, Dallmann G, Mayer B, Mayer G, Rossing P, Lambers Heerspink HJ.","Nephrol Dial Transplant. 2015 Aug;30 Suppl 4:iv86-95. doi: 10.1093/ndt/gfv252.","Pena MJ","Nephrol Dial Transplant","2015","2015/07/26","","","10.1093/ndt/gfv252"
"39162538","Interplay between gut microbiota and tryptophan metabolism in type 2 diabetic mice treated with metformin","Xie Y, Li X, Meng Q, Li J, Wang X, Zhu L, Wang W, Li X.","Microbiol Spectr. 2024 Oct 3;12(10):e0029124. doi: 10.1128/spectrum.00291-24. Epub 2024 Aug 20.","Xie Y","Microbiol Spectr","2024","2024/08/20","PMC11448047","","10.1128/spectrum.00291-24"
"37816982","The metabolic potential of inflammatory and insulinaemic dietary patterns and risk of type 2 diabetes","Lee DH, Jin Q, Shi N, Wang F, Bever AM, Liang L, Hu FB, Song M, Zeleznik OA, Zhang X, Joshi A, Wu K, Jeon JY, Meyerhardt JA, Chan AT, Eliassen AH, Clish C, Clinton SK, Giovannucci EL, Li J, Tabung FK.","Diabetologia. 2024 Jan;67(1):88-101. doi: 10.1007/s00125-023-06021-3. Epub 2023 Oct 11.","Lee DH","Diabetologia","2024","2023/10/10","PMC11555568","NIHMS2032227","10.1007/s00125-023-06021-3"
"37525257","Rationale and design of an investigator-initiated, multicenter, prospective, placebo-controlled, double-blind, randomized trial to evaluate the effects of finerenone on vascular stiffness and cardiorenal biomarkers in type 2 diabetes and chronic kidney disease (FIVE-STAR)","Tanaka A, Shibata H, Imai T, Yoshida H, Miyazono M, Takahashi N, Fukuda D, Okada Y, Teragawa H, Suwa S, Kida K, Moroi M, Taguchi I, Toyoda S, Shimabukuro M, Tanabe K, Tanaka K, Nangaku M, Node K; FIVE-STAR trial investigators.","Cardiovasc Diabetol. 2023 Jul 31;22(1):194. doi: 10.1186/s12933-023-01928-y.","Tanaka A","Cardiovasc Diabetol","2023","2023/07/31","PMC10391880","","10.1186/s12933-023-01928-y"
"27823602","Evolving to Personalized Medicine for Type 2 Diabetes","Reddy SS.","Endocrinol Metab Clin North Am. 2016 Dec;45(4):1011-1020. doi: 10.1016/j.ecl.2016.07.001. Epub 2016 Oct 6.","Reddy SS","Endocrinol Metab Clin North Am","2016","2016/11/09","","","10.1016/j.ecl.2016.07.001"
"31171772","Diabetes causes marked inhibition of mitochondrial metabolism in pancreatic β-cells","Haythorne E, Rohm M, van de Bunt M, Brereton MF, Tarasov AI, Blacker TS, Sachse G, Silva Dos Santos M, Terron Exposito R, Davis S, Baba O, Fischer R, Duchen MR, Rorsman P, MacRae JI, Ashcroft FM.","Nat Commun. 2019 Jun 6;10(1):2474. doi: 10.1038/s41467-019-10189-x.","Haythorne E","Nat Commun","2019","2019/06/08","PMC6554411","","10.1038/s41467-019-10189-x"
"26273663","Study of Protein Biomarkers of Diabetes Mellitus Type 2 and Therapy with Vitamin B1","Riaz S.","J Diabetes Res. 2015;2015:150176. doi: 10.1155/2015/150176. Epub 2015 Jul 27.","Riaz S","J Diabetes Res","2015","2015/08/15","PMC4530253","","10.1155/2015/150176"
"23093701","Proteomic biomarkers of type 2 diabetes mellitus risk in women with polycystic ovary syndrome","Galazis N, Afxentiou T, Xenophontos M, Diamanti-Kandarakis E, Atiomo W.","Eur J Endocrinol. 2013 Feb 1;168(2):R33-43. doi: 10.1530/EJE-12-0718. Print 2013 Feb.","Galazis N","Eur J Endocrinol","2013","2012/10/25","","","10.1530/EJE-12-0718"
"39707404","Microbial and proteomic signatures of type 2 diabetes in an Arab population","Murugesan S, Yousif G, Djekidel MN, Gentilcore G, Grivel JC, Al Khodor S.","J Transl Med. 2024 Dec 20;22(1):1132. doi: 10.1186/s12967-024-05928-8.","Murugesan S","J Transl Med","2024","2024/12/20","PMC11662572","","10.1186/s12967-024-05928-8"
"37514181","SGLT2 Inhibitors in the Treatment of Diabetic Kidney Disease: More than Just Glucose Regulation","Klen J, Dolžan V.","Pharmaceutics. 2023 Jul 20;15(7):1995. doi: 10.3390/pharmaceutics15071995.","Klen J","Pharmaceutics","2023","2023/07/29","PMC10386344","","10.3390/pharmaceutics15071995"
"37405567","In-depth urinary and exosome proteome profiling analysis identifies novel biomarkers for diabetic kidney disease","Du S, Zhai L, Ye S, Wang L, Liu M, Tan M.","Sci China Life Sci. 2023 Nov;66(11):2587-2603. doi: 10.1007/s11427-022-2348-0. Epub 2023 Jun 30.","Du S","Sci China Life Sci","2023","2023/07/05","","","10.1007/s11427-022-2348-0"
"33026133","Hypoglycaemia in type 2 diabetes exacerbates amyloid-related proteins associated with dementia","Moin ASM, Al-Qaissi A, Sathyapalan T, Atkin SL, Butler AE.","Diabetes Obes Metab. 2021 Feb;23(2):338-349. doi: 10.1111/dom.14220. Epub 2020 Oct 25.","Moin ASM","Diabetes Obes Metab","2021","2020/10/07","","","10.1111/dom.14220"
"35454982","Proteomic Analysis of Endometrial Cancer Tissues from Patients with Type 2 Diabetes Mellitus","Mujammami M, Rafiullah M, Alfadda AA, Akkour K, Alanazi IO, Masood A, Musambil M, Alhalal H, Arafah M, Rahman AMA, Benabdelkamel H.","Life (Basel). 2022 Mar 28;12(4):491. doi: 10.3390/life12040491.","Mujammami M","Life (Basel)","2022","2022/04/23","PMC9030544","","10.3390/life12040491"
"37686366","Identification of a Non-Invasive Urinary Exosomal Biomarker for Diabetic Nephropathy Using Data-Independent Acquisition Proteomics","Ding X, Zhang D, Ren Q, Hu Y, Wang J, Hao J, Wang H, Zhao X, Wang X, Song C, Du J, Yang F, Zhu H.","Int J Mol Sci. 2023 Sep 1;24(17):13560. doi: 10.3390/ijms241713560.","Ding X","Int J Mol Sci","2023","2023/09/09","PMC10488032","","10.3390/ijms241713560"
"38017352","Disrupted hypothalamic transcriptomics and proteomics in a mouse model of type 2 diabetes exposed to recurrent hypoglycaemia","Castillo-Armengol J, Marzetta F, Rodriguez Sanchez-Archidona A, Fledelius C, Evans M, McNeilly A, McCrimmon RJ, Ibberson M, Thorens B.","Diabetologia. 2024 Feb;67(2):371-391. doi: 10.1007/s00125-023-06043-x. Epub 2023 Nov 28.","Castillo-Armengol J","Diabetologia","2024","2023/11/28","PMC10789691","","10.1007/s00125-023-06043-x"
"29404372","Quantitative Proteomic Analysis of Hepatic Tissue of T2DM Rhesus Macaque","Du T, Lu S, Jiang Q, Li Y, Ma K.","J Diabetes Res. 2017;2017:3601708. doi: 10.1155/2017/3601708. Epub 2017 Dec 14.","Du T","J Diabetes Res","2017","2018/02/07","PMC5748286","","10.1155/2017/3601708"
"30672815","Nonproteinuric progressive diabetic kidney disease","Zoccali C, Mallamaci F.","Curr Opin Nephrol Hypertens. 2019 May;28(3):227-232. doi: 10.1097/MNH.0000000000000489.","Zoccali C","Curr Opin Nephrol Hypertens","2019","2019/01/24","","","10.1097/MNH.0000000000000489"
"34309080","Quantitative proteomic analysis of human peripheral nerves from subjects with type 2 diabetes","Ising E, Åhrman E, Thomsen NOB, Eriksson KF, Malmström J, Dahlin LB.","Diabet Med. 2021 Nov;38(11):e14658. doi: 10.1111/dme.14658. Epub 2021 Aug 4.","Ising E","Diabet Med","2021","2021/07/26","","","10.1111/dme.14658"
"36506101","Discovering new peripheral plasma biomarkers to identify cognitive decline in type 2 diabetes","Yu H, Gao Y, He T, Li M, Zhang Y, Zheng J, Jiang B, Chen C, Ke D, Liu Y, Wang JZ.","Front Cell Dev Biol. 2022 Nov 24;10:818141. doi: 10.3389/fcell.2022.818141. eCollection 2022.","Yu H","Front Cell Dev Biol","2022","2022/12/12","PMC9729784","","10.3389/fcell.2022.818141"
"19027091","Glucotoxicity and pancreatic proteomics","Brunner Y, Schvartz D, Priego-Capote F, Couté Y, Sanchez JC.","J Proteomics. 2009 Jan 30;71(6):576-91. doi: 10.1016/j.jprot.2008.10.002. Epub 2008 Nov 5.","Brunner Y","J Proteomics","2009","2008/11/26","","","10.1016/j.jprot.2008.10.002"
"38464367","Genotype-based precision nutrition strategies for the prediction and clinical management of type 2 diabetes mellitus","Ramos-Lopez O.","World J Diabetes. 2024 Feb 15;15(2):142-153. doi: 10.4239/wjd.v15.i2.142.","Ramos-Lopez O","World J Diabetes","2024","2024/03/11","PMC10921165","","10.4239/wjd.v15.i2.142"
"37032061","Ceramides biomarkers determination in quantitative dried blood spots by UHPLC-MS/MS","Meikopoulos T, Begou O, Theodoridis G, Gika H.","Anal Chim Acta. 2023 May 15;1255:341131. doi: 10.1016/j.aca.2023.341131. Epub 2023 Mar 22.","Meikopoulos T","Anal Chim Acta","2023","2023/04/09","","","10.1016/j.aca.2023.341131"
"34248840","Type 2 Diabetes Coagulopathy Proteins May Conflict With Biomarkers Reflective of COVID-19 Severity","Moin ASM, Al-Qaissi A, Sathyapalan T, Atkin SL, Butler AE.","Front Endocrinol (Lausanne). 2021 Jun 25;12:658304. doi: 10.3389/fendo.2021.658304. eCollection 2021.","Moin ASM","Front Endocrinol (Lausanne)","2021","2021/07/12","PMC8267927","","10.3389/fendo.2021.658304"
"35119024","Data-independent acquisition-based proteomics analysis correlating type 2 diabetes mellitus with osteoarthritis in total knee arthroplasty patients","Zhao L, Wu T, Li J, Cai C, Yao Q, Zhu YS.","Medicine (Baltimore). 2022 Feb 4;101(5):e28738. doi: 10.1097/MD.0000000000028738.","Zhao L","Medicine (Baltimore)","2022","2022/02/04","PMC8812634","","10.1097/MD.0000000000028738"
"38470329","Tandem Mass Tag LC-MS/MS of Aqueous Humor From Individuals With Type 2 Diabetes Without Retinopathy Reveals Early Dysregulation of Synaptic Proteins","Sachdeva MM, Lee Y, Unlu EK, Koseoglu ND, Cha E, Wang J, Prescott CR, Eghrari AO, Na CH.","Invest Ophthalmol Vis Sci. 2024 Mar 5;65(3):16. doi: 10.1167/iovs.65.3.16.","Sachdeva MM","Invest Ophthalmol Vis Sci","2024","2024/03/12","PMC10939138","","10.1167/iovs.65.3.16"
"36100153","Untargeted approach to investigating the metabolomics profile of type 2 diabetes emiratis","Banimfreg BH, Shamayleh A, Alshraideh H, Semreen MH, Soares NC.","J Proteomics. 2022 Oct 30;269:104718. doi: 10.1016/j.jprot.2022.104718. Epub 2022 Sep 11.","Banimfreg BH","J Proteomics","2022","2022/09/13","","","10.1016/j.jprot.2022.104718"
"39084708","Associations between circulating proteins and cardiometabolic diseases: a systematic review and meta-analysis of observational and Mendelian randomisation studies","Wu T, Ke Y, Li Y, Wu Z, Lv J, Yu C, Sun D, Yao P, Kartsonaki C, Chen Z, Li L, Pang Y.","Heart. 2024 Sep 25;110(20):1208-1215. doi: 10.1136/heartjnl-2024-324050.","Wu T","Heart","2024","2024/07/31","","","10.1136/heartjnl-2024-324050"
"31580528","Analysis of urinary sphingolipids using liquid chromatography-tandem mass spectrometry in diabetic nephropathy","Morita Y, Kurano M, Sakai E, Nishikawa T, Nishikawa M, Sawabe M, Aoki J, Yatomi Y.","J Diabetes Investig. 2020 Mar;11(2):441-449. doi: 10.1111/jdi.13154. Epub 2019 Oct 21.","Morita Y","J Diabetes Investig","2020","2019/10/04","PMC7078086","","10.1111/jdi.13154"
"30035378","Proteomic Study on the New Potential Mechanism and Biomarkers of Diabetes","Wang N, Zhang S, Zhu F, Yang Y, Chen L, Lü P, Yu L, Chen K.","Proteomics Clin Appl. 2019 May;13(3):e1800043. doi: 10.1002/prca.201800043. Epub 2018 Aug 13.","Wang N","Proteomics Clin Appl","2019","2018/07/24","","","10.1002/prca.201800043"
"24059316","Proteomics approaches to understand linkage between Alzheimer's disease and type 2 diabetes mellitus","Mirza Z, Ali A, Ashraf GM, Kamal MA, Abuzenadah AM, Choudhary AG, Damanhouri GA, Sheikh IA.","CNS Neurol Disord Drug Targets. 2014 Mar;13(2):213-25. doi: 10.2174/18715273113126660144.","Mirza Z","CNS Neurol Disord Drug Targets","2014","2013/09/25","","","10.2174/18715273113126660144"
"39432369","Proteomic Analysis Uncovers Multiprotein Signatures Associated with Early Diabetic Kidney Disease in Youth with Type 2 Diabetes Mellitus","Pyle L, Choi YJ, Narongkiatikhun P, Sharma K, Waikar S, Layton A, Tommerdahl KL, de Boer I, Vigers T, Nelson RG, Lynch J, Brosius F 3rd, Saulnier PJ, Goodrich JA, Tryggestad JB, Isganaitis E, Bacha F, Nadeau KJ, van Raalte D, Kretzler M, Heerspink H, Bjornstad P.","Clin J Am Soc Nephrol. 2024 Dec 1;19(12):1603-1612. doi: 10.2215/CJN.0000000000000559. Epub 2024 Oct 21.","Pyle L","Clin J Am Soc Nephrol","2024","2024/10/21","PMC11637700","","10.2215/CJN.0000000000000559"
"38541736","Aerobic Exercise Modulates Proteomic Profiles in Gastrocnemius Muscle of db/db Mice, Ameliorating Sarcopenia","Huang YC, Sanotra MR, Huang CC, Hsu YJ, Liao CC.","Life (Basel). 2024 Mar 20;14(3):412. doi: 10.3390/life14030412.","Huang YC","Life (Basel)","2024","2024/03/28","PMC10971967","","10.3390/life14030412"
